"Carrera","Ciclo","Nro_Curos","Dispositivo_principal","Nro_dispositivos_dia","Modelo_dispositivo_principal","Marca_disp_principal","Horas_uso_dispo_dia","Nro_carga_dia","Satisfaccion","tipo_de_uso","Bateria_dispo_pricipal","Eficiencia_energetica","Consumo_energia_dia"
"Ciencias de la computación",3,6,"Celular",1,"Honor","Honor",4,2,3,"Estudios, Investigación, Entretenimiento",5000,1.6,10000
"Ciencias de la computación",3,6,"Celular",3,"Samsung","Samsung",8,5,2,"Entretenimiento",4500,8.88888888888889,22500
"Ingenieria Mecánica",1,4,"Celular",2,"Samsung","Samsung",2.5,2,4,"Estudios, Investigación, Entretenimiento",4500,1.11111111111111,9000
"Ciencias de la computación",2,5,"Celular",3,"Samsung","Samsung",4,3,4,"Estudios, Investigación",5000,2.4,15000
"Ciencias de la computación",3,6,"Celular",3,"Huawei","Huawei",4,1,4,"Estudios, Investigación, Entretenimiento",4000,1,4000
"Ingenieria Civil",6,6,"Tablet",3,"Samsung","Samsung",5,2,5,"Estudios, Investigación",4500,2.22222222222222,9000
"Ingenieria Civil",6,7,"Laptop",1,"HP Victus","HP",1,1,5,"Estudios",4000,0.25,4000
"Ingenieria Civil",6,7,"Tablet",3,"Samsung","Samsung",3,1,5,"Estudios, Investigación, Entretenimiento",10090,0.297324083250743,10090
"Ingenieria Civil",6,7,"Tablet",3,"Samsung","Samsung",5,2,4,"Estudios",5000,2,10000
"Ingenieria Civil",6,6,"Laptop",3,"HP Victus","HP",3,2,4,"Estudios",4000,1.5,8000
"Ciencias de la computación",3,5,"Tablet",5,"Iphone","Apple",8,5,4,"Estudios, Investigación, Entretenimiento",7000,5.71428571428571,35000
"Ingenieria Civil",2,6,"Laptop",2,"lenovo ideapad","Lenovo",4,3,4,"Estudios, Investigación, Entretenimiento",5000,2.4,15000
"Ingenieria Mecánica",7,6,"Celular",2,"Samsung","Samsung",3,4,4,"Estudios, Investigación, Entretenimiento",5000,2.4,20000
"Bioingenieria",6,5,"Celular",2,"Xiaomi","Xiaomi",4,1,5,"Estudios, Investigación, Entretenimiento, Otros",5000,0.8,5000
"Ingenieria Civil",7,6,"Celular",2,"Iphone","Apple",4.5,2,4,"Estudios, Investigación, Entretenimiento, Otros",4000,2.25,8000
"Ingenieria Civil",7,6,"Celular",3,"Iphone","Apple",4,3,4,"Estudios, Investigación, Entretenimiento",3000,4,9000
"Ingenieria Civil",4,6,"Celular",2,"Xiaomi","Xiaomi",8,2,5,"Estudios, Investigación, Entretenimiento",5000,3.2,10000
"Ingenieria Civil",4,6,"Laptop",3,"asus tuf gaming","Asus",3,3,4,"Estudios",4500,2,13500
"Ingenieria Civil",4,6,"Laptop",3,"Huawei","Huawei",7,2,3,"Estudios",7000,2,14000
"Ingenieria Civil",4,7,"Laptop",3,"Acer Nitro 5","Acer",8,5,3,"Estudios, Investigación, Entretenimiento",3500,11.4285714285714,17500
"Ingenieria Civil",4,5,"Laptop",2,"Acer Nitro 5","Acer",9,2,5,"Estudios, Investigación, Entretenimiento",3500,5.14285714285714,7000
"Ingenieria Civil",4,6,"Laptop",3,"HP Victus","HP",5,5,4,"Estudios",4000,6.25,20000
"Ingenieria Civil",4,6,"Laptop",3,"lenovo ideapad","Lenovo",5,1,3,"Estudios, Investigación, Entretenimiento",5000,1,5000
"Ingenieria Mecánica",3,4,"Laptop",3,"lenovo ideapad","Lenovo",7,2,4,"Estudios, Investigación, Entretenimiento, Otros",5000,2.8,10000
"Ingenieria Industrial",4,6,"Laptop",3,"HP Victus","HP",5,2,4,"Estudios, Investigación",4000,2.5,8000
"Ingenieria Civil",5,6,"Celular",3,"Samsung","Samsung",5,3,5,"Estudios, Investigación, Entretenimiento",4500,3.33333333333333,13500
"Ingenieria Industrial",4,6,"Celular",2,"motorola","Motorola",5,2,4,"Estudios, Investigación, Entretenimiento",5000,2,10000
"Bioingenieria",4,8,"Celular",2,"Honor","Honor",4.5,1,5,"Estudios, Investigación, Entretenimiento",4500,1,4500
"Ingenieria Civil",3,6,"Celular",3,"Xiaomi","POCO",5,3,5,"Estudios, Investigación, Entretenimiento",5000,3,15000
"Ingenieria Civil",3,6,"Celular",3,"Samsung","Samsung",7,2,5,"Estudios, Entretenimiento",4500,3.11111111111111,9000
"Ingenieria Civil",6,6,"Laptop",3,"lenovo ideapad","Lenovo",3,1,4,"Estudios",5000,0.6,5000
"Ingenieria Civil",4,6,"Celular",3,"Samsung","Samsung",1,2,3,"Estudios, Investigación, Entretenimiento",4000,0.5,8000
"Ciencia de Datos",3,6,"Laptop",3,"lenovo ideapad","Lenovo",4,2,4,"Estudios",5000,1.6,10000
"Ciencia de Datos",3,6,"Laptop",2,"Macbook","Apple",6,1,5,"Estudios, Investigación, Entretenimiento",6000,1,6000
"Ciencias de la computación",3,5,"Celular",3,"Iphone","Apple",3,2,3,"Estudios, Entretenimiento",3000,2,6000
"Ciencia de Datos",3,6,"Laptop",4,"HP Victus","HP",6,3,3,"Estudios, Investigación",4000,4.5,12000
"Ingenieria Mecatrónica",7,8,"Tablet",3,"Samsung","Samsung",7,1,3,"Estudios, Investigación, Entretenimiento, Otros",4500,1.55555555555556,4500
"Ingenieria Mecatrónica",6,5,"Celular",2,"Honor","Honor",6,3,5,"Estudios",5000,3.6,15000
"Bioingenieria",10,5,"Laptop",2,"lenovo ideapad","Lenovo",4,1,5,"Estudios, Investigación, Entretenimiento, Otros",5000,0.8,5000
"Bioingenieria",8,7,"Laptop",2,"asus tuf gaming","Asus",8,1,5,"Estudios, Investigación, Otros",4500,1.77777777777778,4500
"Ciencia de Datos",3,5,"Laptop",3,"lenovo ideapad","Lenovo",8,2,3,"Estudios, Entretenimiento",4500,3.55555555555556,9000
"Ingenieria Civil",5,7,"Laptop",3,"HP Victus","HP",6,2,5,"Estudios, Investigación, Entretenimiento, Otros",4000,3,8000
"Ingenieria Civil",4,7,"Celular",2,"Samsung","Samsung",6,2,4,"Estudios, Entretenimiento",5000,2.4,10000
"Ingenieria Mecatrónica",5,6,"Laptop",2,"HP Victus","HP",3.6,3,3,"Estudios, Entretenimiento",4000,2.7,12000
"Ingenieria Mecánica",4,6,"Celular",3,"Iphone","Apple",4,3,2,"Estudios, Investigación",4500,2.66666666666667,13500
"Ingenieria Industrial",8,4,"Celular",2,"Iphone","Apple",6,2,5,"Estudios, Investigación, Entretenimiento",5000,2.4,10000
"Ingenieria Electrónica",7,5,"Laptop",3,"Acer Nitro 5","Acer",5,1,3,"Estudios, Entretenimiento",5000,1,5000
"Ciencia de Datos",4,4,"Laptop",3,"Macbook","Apple",8,2,4,"Estudios",4500,3.55555555555556,9000
"Ingenieria Industrial",4,5,"Laptop",2,"HP Victus","HP",6.5,3,4,"Estudios, Entretenimiento",7000,2.78571428571429,21000
"Ingenieria Civil",4,7,"Laptop",2,"Huawei","Huawei",2,2,4,"Estudios, Entretenimiento",7000,0.571428571428571,14000
"Ingenieria Civil",4,7,"Tablet",3,"lenovo ideapad","Lenovo",10,2,4,"Estudios, Investigación, Entretenimiento",3500,5.71428571428571,7000
"Ingenieria Civil",4,7,"Tablet",3,"Samsung","Samsung",3.5,1,4,"Estudios",5000,0.7,5000
"Ingenieria Mecatrónica",7,6,"Celular",4,"Xiaomi","Xiaomi",2,1,4,"Estudios, Entretenimiento",5000,0.4,5000
"Ingenieria Mecatrónica",3,4,"Laptop",2,"lenovo ideapad","Lenovo",3,1,5,"Estudios, Entretenimiento",5000,0.6,5000
"Ingenieria Civil",4,7,"Laptop",3,"lenovo ideapad","Lenovo",5,3,4,"Estudios",3500,4.28571428571429,10500
"Ingenieria Civil",4,4,"Laptop",2,"Samsung","Samsung",3,3,4,"Estudios, Investigación, Entretenimiento",4000,2.25,12000
"Ingenieria Civil",7,6,"Laptop",2,"HP Victus","HP",5,3,1,"Estudios, Investigación",4000,3.75,12000
"Ingenieria Civil",6,7,"Celular",3,"Iphone","Apple",3,4,4,"Estudios, Investigación",5000,2.4,20000
"Ingenieria Civil",4,6,"Laptop",2,"MSI","MSI",4,2,3,"Estudios, Entretenimiento",4500,1.77777777777778,9000
"Ingenieria Ambiental",4,7,"Laptop",2,"HP Victus","HP",10,3,3,"Estudios, Investigación, Entretenimiento",4000,7.5,12000
"Ingenieria Civil",4,6,"Laptop",3,"lenovo ideapad","Lenovo",3,2,4,"Estudios",3500,1.71428571428571,7000
"Ingenieria Civil",4,8,"Tablet",3,"Samsung","Samsung",6.5,3,4,"Estudios",4000,4.875,12000
"Ingenieria Electrónica",4,5,"Laptop",3,"HP Victus","HP",4.5,2,4,"Estudios, Entretenimiento",4000,2.25,8000
"Ingenieria Química",7,4,"Celular",2,"Samsung","Samsung",5,2,4,"Estudios, Entretenimiento",5000,2,10000
"Ingenieria Industrial",2,5,"Laptop",2,"Macbook","Apple",4,2,3,"Estudios, Investigación",5000,1.6,10000
"Ciencias de la computación",4,5,"Laptop",2,"lenovo ideapad","Lenovo",4,2,4,"Estudios, Entretenimiento, Otros",5000,1.6,10000
"Ingenieria Mecatrónica",4,6,"Laptop",3,"lenovo ideapad","Lenovo",8,3,3,"Estudios, Investigación, Entretenimiento",3500,6.85714285714286,10500
"Ingenieria Mecatrónica",4,6,"Laptop",2,"lenovo ideapad","Lenovo",4,4,4,"Estudios, Investigación",3500,4.57142857142857,14000
"Ingenieria Ambiental",6,5,"Laptop",2,"HP Victus","HP",3,3,3,"Estudios, Entretenimiento",4000,2.25,12000
"Bioingenieria",4,5,"Laptop",2,"HP Victus","HP",5,3,3,"Estudios, Investigación, Entretenimiento",4000,3.75,12000
"Ingenieria Civil",3,6,"Celular",2,"Iphone","Apple",5,3,4,"Estudios, Entretenimiento",3000,5,9000
"Ingenieria Ambiental",4,6,"Laptop",2,"Acer Nitro 5","Acer",7,6,2,"Estudios, Investigación, Entretenimiento",3500,12,21000
"Ingenieria Civil",4,6,"Laptop",3,"Acer Nitro 5","Acer",4,4,3,"Estudios, Investigación",3500,4.57142857142857,14000
"Ciencias de la computación",3,5,"Laptop",4,"Lenovo Ideapad 5","Lenovo",1.3,4,3,"Investigación",4650,1.11827956989247,18600
"Ingenieria Mecatrónica",3,6,"Celular",2,"Iphone 11","Apple",8,2,4,"Estudios, Investigación, Entretenimiento",3310,4.83383685800604,6620
"Ingenieria Industrial",3,7,"Celular",3,"iPhone 13","Apple",4,1,4,"Estudios, Entretenimiento",3327,1.20228434024647,3327
"Ingenieria Electrónica",3,7,"Tablet",3,"Iphone 11 pro max","Apple",7,1,3,"Estudios, Entretenimiento",3500,2,3500
"Ingenieria Mecatrónica",3,7,"Laptop",3,"HP laptop 114","HP",5,2,3,"Estudios, Entretenimiento",2600,3.84615384615385,5200
"Ingenieria Civil",3,5,"Laptop",3,"Lenovo thinkpad t14","Lenovo",4,1,5,"Estudios, Investigación, Entretenimiento",5400,0.740740740740741,5400
"Ingenieria Ambiental",4,7,"Tablet",3,"Lenovo Tab p12","Lenovo",9,1,5,"Estudios, Investigación",10200,0.882352941176471,10200
"Ingenieria Civil",3,6,"Laptop",2,"Vivobook_ASUSLaptop M6500QC","Asus",8,2,4,"Estudios, Investigación, Entretenimiento",6030,2.65339966832504,12060
"Ingenieria Ambiental",4,6,"Laptop",3,"Victus by HP laptop 16- d0xxx","HP",8,4,3,"Estudios, Investigación",5200,6.15384615384615,20800
"Ingenieria Mecánica",3,6,"Laptop",2,"Victus by HP Gaming Laptop 16","HP",5,2,3,"Estudios, Investigación, Entretenimiento",4323,2.31320842007865,8646
"Ingenieria Ambiental",4,6,"Tablet",3,"Samsung s6 lite","Samsung",7,1,3,"Estudios, Investigación, Entretenimiento",7040,0.994318181818182,7040
"Ingenieria Civil",3,6,"Laptop",2,"Asus TUF Gaming","Asus",5,2,3,"Estudios, Entretenimiento",5600,1.78571428571429,11200
"Ciencias de la computación",3,6,"Laptop",3,"Lenovo Ideapad 5 82FG","Lenovo",12,2,4,"Estudios, Investigación",4140,5.79710144927536,8280
"Ingenieria Civil",3,7,"Celular",3,"iPhone 14","Apple",6.4,2,4,"Estudios, Entretenimiento",3279,3.90362915523025,6558
"Ciencias de la computación",3,6,"Laptop",2,"Vibobook_ASUSLaptop M1605YA_M1605YA","Asus",6,6,5,"Estudios, Investigación, Entretenimiento, Otros",3640,9.89010989010989,21840
"Ingenieria Mecatrónica",3,6,"Laptop",4,"Victus by HP Gaming Laptop 15","Lenovo",5,2,4,"Estudios, Entretenimiento",4323,2.31320842007865,8646
"Ingenieria Mecatrónica",3,5,"Laptop",3,"Nitro AN515-57","Acer",5,2,4,"Estudios, Entretenimiento",3733,2.67881060809001,7466
"Ciencia de Datos",3,6,"Laptop",3,"Lenovo Thinkpad","Lenovo",4,2,4,"Estudios",4100,1.95121951219512,8200
"Ciencias de la computación",3,6,"Laptop",2,"HP Laptop 15-ef1xxx","HP",10,2,4,"Estudios, Otros",3732,5.35905680600214,7464
"Ciencias de la computación",3,6,"Laptop",2,"Lenovo YOGA 510-14ISK","Lenovo",3,8,5,"Estudios, Investigación, Entretenimiento",4605,5.21172638436482,36840
"Ciencias de la computación",5,5,"Tablet",2,"Samsung Galaxy Tab S8","Samsung",5,2,5,"Estudios, Entretenimiento",8000,1.25,16000
"Ingenieria Ambiental",4,6,"Laptop",4,"Nitro AN515-57","Acer",10,3,4,"Estudios, Investigación, Entretenimiento",3733,8.03643182427002,11199
"Ingenieria Industrial",4,6,"Celular",2,"Iphone 13","Apple",7.5,2,4,"Entretenimiento",3327,4.50856627592426,6654
"Ciencia de Datos",3,6,"Laptop",2,"Macbook Pro M2 Pro","Apple",7,1,5,"Estudios, Entretenimiento",5103,1.37174211248285,5103
"Ingenieria Industrial",8,3,"Tablet",3,"iPad pro 12","Apple",3,1,4,"Estudios, Entretenimiento",7600,0.394736842105263,7600
"Ingenieria Química",7,4,"Laptop",2,"Lenovo thinkpad t480","Lenovo",5,2,3,"Estudios, Investigación, Entretenimiento",2100,4.76190476190476,4200
"Ingenieria Civil",2,7,"Celular",2,"Motorola moto g34 5G","Motorola",10,2,5,"Estudios, Investigación, Entretenimiento",5000,4,10000
"Ingenieria Ambiental",4,6,"Laptop",3,"Hp core i5","HP",7,3,5,"Estudios, Investigación, Entretenimiento",2200,9.54545454545454,6600
"Ingenieria Industrial",5,6,"Celular",3,"Iphone 12 pro","Apple",4,2,5,"Estudios, Investigación, Entretenimiento",2815,2.84191829484902,5630
"Ingenieria Civil",2,6,"Laptop",2,"Hp Envy 13-ba1012la","HP",4,2,4,"Estudios, Investigación, Entretenimiento",3454,2.31615518239722,6908
"Ingenieria Ambiental",4,6,"Laptop",3,"Hp victus 16","HP",5,3,3,"Estudios",4550,3.2967032967033,13650
"Ingenieria Civil",5,2,"Celular",2,"iPhone 13","Apple",6,2,4,"Estudios, Investigación, Entretenimiento",3227,3.71862410907964,6454
"Ciencias de la computación",3,6,"Laptop",2,"HP Zbook 15 G4","HP",6,3,5,"Estudios, Entretenimiento",4600,3.91304347826087,13800
"Ciencias de la computación",3,5,"Laptop",2,"Macbook air M2 ventura 14.0","Apple",8,1,3,"Estudios",4730,1.69133192389006,4730
"Ingenieria Industrial",3,5,"Laptop",2,"HP core i3","HP",6,3,4,"Estudios, Entretenimiento",3700,4.86486486486486,11100
"Ciencias de la computación",3,6,"Laptop",3,"Lenovo Thinkpad T480","Lenovo",6,2,3,"Estudios, Investigación",2060,5.8252427184466,4120
"Ingenieria de la Energía",5,4,"Laptop",3,"THINKPADT490","Lenovo",5,10,3,"Estudios, Investigación, Entretenimiento",4385,11.4025085518814,43850
"Ingenieria Industrial",4,6,"Laptop",3,"Lenovo Ideapad Gaming 3 82K2","Lenovo",12,1,4,"Estudios, Investigación",3910,3.0690537084399,3910
"Ingenieria Civil",3,6,"Celular",3,"iPhone 13","Apple",5,2,4,"Estudios, Entretenimiento",3227,3.09885342423303,6454
"Ciencias de la computación",3,7,"Laptop",2,"HP Pavilion Laptop 15-eg0xxx","HP",6,3,4,"Estudios, Investigación",3440,5.23255813953488,10320
"Ciencias de la computación",3,6,"Celular",3,"Iphone 14 pro max","Apple",1,1,4,"Estudios, Investigación, Entretenimiento",4323,0.231320842007865,4323
"Bioingenieria",2,5,"Laptop",2,"Lenovo 82FE","Lenovo",6,3,3,"Estudios",4955,3.63269424823411,14865
"Ingenieria Ambiental",2,6,"Celular",2,"Samsung A12","Samsung",5,2,4,"Estudios, Investigación",5000,2,10000
"Ingenieria Industrial",4,7,"Laptop",3,"HP Laptop 15-ef2xxx","HP",5,3,5,"Estudios, Investigación",3470,4.32276657060519,10410
"Ingenieria Electrónica",3,5,"Laptop",2,"Dell G7","DELL",4,2,4,"Estudios, Investigación, Entretenimiento",4649,1.72080017208002,9298
"Ciencia de Datos",3,6,"Laptop",2,"Thin GF63 12VE","MSI",8,3,4,"Estudios, Investigación, Entretenimiento",4500,5.33333333333333,13500
"Bioingenieria",3,5,"Laptop",2,"Lenovo Legion pro 5i","Lenovo",4,2,4,"Estudios, Investigación",5210,1.53550863723608,10420
"Ciencias de la computación",3,4,"Laptop",3,"System ModASUS TUF Gaming F15 FX507ZM_FX507ZM","Asus",12,2,3,"Estudios, Entretenimiento",5500,4.36363636363636,11000
"Ciencias de la computación",3,5,"Laptop",4,"Acer Aspire A514","Acer",7,2,3,"Estudios, Investigación, Entretenimiento",4471,3.1312905390293,8942
"Ingenieria Industrial",4,6,"Laptop",2,"Hp Victus","HP",8,4,3,"Estudios, Investigación, Entretenimiento",4323,7.40226694425168,17292
"Ciencia de Datos",3,6,"Laptop",3,"HP 15","HP",5,3,2,"Estudios, Investigación",5200,2.88461538461538,15600
"Ingenieria Industrial",3,5,"Laptop",3,"lenovo tinkpad l470","Lenovo",5,10,5,"Estudios, Investigación, Entretenimiento, Otros",4400,11.3636363636364,44000
"Ingenieria Industrial",4,4,"Laptop",2,"Asus VivoBook 15","Asus",4,3,5,"Estudios, Investigación, Entretenimiento",4850,2.47422680412371,14550
"Ingenieria Mecatrónica",6,5,"Celular",4,"iPhone 7 Plus","Apple",5,3,3,"Estudios, Investigación, Entretenimiento",3850,3.8961038961039,11550
"Ingenieria Mecatrónica",6,4,"Celular",2,"Galaxy A32","Samsung",6,2,4,"Estudios, Investigación, Entretenimiento",5000,2.4,10000
"Ingenieria Mecatrónica",6,5,"Celular",2,"Galaxy s24","Samsung",10,2,5,"Estudios, Investigación, Entretenimiento",3800,5.26315789473684,7600
"Ciencias de la computación",1,7,"Laptop",3,"Macbook pro","Apple",5,2,5,"Estudios, Investigación",5300,1.88679245283019,10600
"Ingenieria Industrial",4,6,"Celular",3,"Iphone 14","Apple",4,2,5,"Estudios, Entretenimiento",3279,2.43976822201891,6558
"Ingenieria Industrial",4,6,"Celular",2,"Redmi note 12 pro","Xiaomi",4.5,2,3,"Estudios, Investigación",5000,1.8,10000
"Ingenieria Mecatrónica",6,5,"Laptop",3,"HP 14","HP",3,5,4,"Estudios, Investigación",2200,6.81818181818182,11000
"Ingenieria Mecatrónica",6,5,"Laptop",2,"Laptop loq lenovo","Lenovo",7,2,2,"Estudios, Entretenimiento",3886,3.6026762738034,7772
"Ciencias de la computación",6,5,"Celular",3,"Motorola One Macro","Motorola",6,10,4,"Estudios, Entretenimiento",4000,15,40000
"Ingenieria Industrial",6,7,"Laptop",2,"Hp Pavilion","HP",8,3,4,"Estudios, Investigación, Entretenimiento",3470,6.9164265129683,10410
"Ciencias de la computación",3,5,"Celular",2,"Samsung S20","Samsung",3,4,4,"Investigación, Entretenimiento",3880,3.09278350515464,15520
"Ingenieria Electrónica",3,6,"Laptop",3,"Hp Omen","HP",5,2,2,"Entretenimiento",5973,1.67420056922819,11946
"Ingenieria Industrial",8,5,"Celular",3,"iPhone 12","Apple",12,1,4,"Estudios, Entretenimiento, Otros",2815,4.26287744227353,2815
"Ciencias de la computación",4,6,"Laptop",2,"Pavilion Hp Gamer","HP",6.5,2,3,"Estudios, Investigación, Entretenimiento, Otros",5150,2.52427184466019,10300
"Ciencias de la computación",4,7,"Celular",2,"HUAWEI Y9","Huawei",3,3,3,"Estudios, Investigación, Entretenimiento",4000,2.25,12000
"Ingenieria Mecatrónica",3,5,"Laptop",2,"LENOVO 81VW","Lenovo",8,2,4,"Estudios, Entretenimiento",3220,4.96894409937888,6440
"Ingenieria de la Energía",7,5,"Laptop",3,"HP Laptop 15-ef1xxx","HP",3,3,5,"Estudios, Investigación, Entretenimiento",3550,2.53521126760563,10650
"Ingenieria Civil",7,5,"Laptop",3,"OMEN by HP Laptop 15-dc0xxx","HP",12,4,5,"Estudios, Investigación, Entretenimiento",4320,11.1111111111111,17280
"Ingenieria Civil",4,8,"Tablet",3,"Samsung Lite 6s","Samsung",6,2,4,"Estudios",6840,1.75438596491228,13680
"Ciencia de Datos",5,5,"Laptop",2,"Macbook pro 14","Apple",13,5,3,"Estudios, Investigación, Entretenimiento",6100,10.655737704918,30500
"Ingenieria Mecatrónica",4,4,"Tablet",3,"Tab S9 Fe+","Samsung",4,1,5,"Estudios, Entretenimiento",10090,0.396432111000991,10090
"Ciencias de la computación",1,7,"Laptop",3,"Laptop lenovo T14","Apple",5,3,5,"Estudios, Entretenimiento",4385,3.42075256556442,13155
"Ingenieria de la Energía",2,6,"Celular",2,"Honor X8a","Honor",3,1,4,"Estudios, Entretenimiento",4500,0.666666666666667,4500
"Ingenieria Ambiental",6,4,"Laptop",2,"vivobook asus","Asus",6,2,4,"Estudios, Investigación, Entretenimiento",3640,3.2967032967033,7280
"Ingenieria Electrónica",4,6,"Laptop",3,"HP core i5","HP",8,4,3,"Estudios, Investigación",4100,7.80487804878049,16400
"Ingenieria Civil",3,6,"Celular",3,"Samsung A23","Samsung",3.5,2,4,"Estudios, Investigación",5000,1.4,10000
"Ingenieria Civil",3,6,"Celular",4,"Pixel 7","Google",6,1,4,"Entretenimiento",4355,1.37772675086108,4355
"Ingenieria Civil",3,6,"Celular",3,"Xiaomi 12 t pro","Xiaomi",7,1,5,"Estudios, Investigación, Entretenimiento",5000,1.4,5000
"Ingenieria Civil",3,6,"Celular",2,"Honor 8a","Honor",6,2,4,"Estudios, Investigación, Entretenimiento",3020,3.97350993377483,6040
"Ingenieria Civil",3,6,"Celular",2,"Redmi 9","Xiaomi",6,1,2,"Entretenimiento",5020,1.19521912350598,5020
"Ingenieria Mecánica",2,7,"Laptop",2,"Lenovo Thinkpad","Lenovo",2,3,3,"Estudios",3900,1.53846153846154,11700
"Ingenieria Mecánica",4,7,"Celular",3,"Samsung a51","Samsung",4,3,3,"Estudios, Entretenimiento",4000,3,12000
"Ingenieria Mecánica",4,6,"Celular",2,"iPhone 12","Apple",3,3,5,"Estudios, Otros",2815,3.19715808170515,8445
"Ingenieria Industrial",4,7,"Celular",3,"Honor X8","Honor",6,3,3,"Estudios, Investigación",4000,4.5,12000
"Ingenieria Ambiental",5,6,"Tablet",3,"iPad Air","Apple",5,1,5,"Estudios, Entretenimiento",5000,1,5000
"Ciencia de Datos",7,5,"Laptop",2,"Notebook Lenovo ThinkPad E15 Gen2 20TES49Y00","Lenovo",6,2,2,"Estudios, Otros",3900,3.07692307692308,7800
"Ingenieria Mecatrónica",5,5,"Celular",2,"Samsung A512023","Samsung",3,2,4,"Estudios, Investigación",4000,1.5,8000
"Ingenieria Mecatrónica",5,5,"Laptop",2,"ASUS TUF","Asus",7,2,4,"Estudios, Investigación, Entretenimiento",5600,2.5,11200
"Ingenieria Civil",5,7,"Laptop",3,"Lenovo LOQ 15IRH8 82XV","Lenovo",8,3,5,"Estudios, Investigación, Entretenimiento, Otros",6140,3.90879478827362,18420
"Ciencias de la computación",5,7,"Laptop",3,"MacBook Pro","Apple",4,1,5,"Estudios, Investigación, Entretenimiento",7336,0.54525627044711,7336
"Ciencias de la computación",5,6,"Celular",2,"Samsung S23 Ultra","Samsung",5,1,5,"Estudios, Entretenimiento",4855,1.02986611740474,4855
"Ciencias de la computación",5,6,"Celular",3,"Iphone 15","Apple",7,2,5,"Estudios, Entretenimiento",3367,4.15800415800416,6734
"Ciencias de la computación",5,4,"Celular",2,"Iphone14","Apple",5,1,4,"Entretenimiento",3279,1.52485513876182,3279
"Ciencias de la computación",5,5,"Laptop",3,"HP 245 G8 Notebook PC","HP",5,2,3,"Estudios, Entretenimiento",3596,2.78086763070078,7192
"Ingenieria Industrial",7,5,"Laptop",2,"Mac book air 2019","Apple",4.5,3,4,"Estudios, Entretenimiento",4379,3.08289563827358,13137
"Ciencia de Datos",5,5,"Laptop",2,"ROG Flow X13 GV301QE_GV301QE","Asus",12,2,4,"Estudios, Investigación, Entretenimiento",4007,5.98951834289992,8014
"Sistemas de Información",1,6,"Celular",2,"Galaxy A32","Samsung",5,1,2,"Estudios, Entretenimiento",5000,1,5000
"Ingenieria Mecánica",1,7,"Celular",4,"Xiaomi poco x4 pro","Xiaomi",10,3,5,"Estudios, Investigación, Entretenimiento",5000,6,15000
"Ingenieria Mecánica",1,7,"Celular",4,"Xiaomi redmi note 13","Xiaomi",5,5,5,"Estudios",5000,5,25000
"Ingenieria Industrial",1,7,"Laptop",2,"Macbook air","Apple",2,1,1,"Entretenimiento",4379,0.456725279744234,4379
"Ingenieria Mecatrónica",1,5,"Celular",2,"Xiaomi Redmi Note 13","Xiaomi",12,1,4,"Estudios, Investigación, Entretenimiento",5000,2.4,5000
"Ciencias de la computación",1,6,"Celular",3,"Xiaomi redmi note 8","Xiaomi",4,2,4,"Estudios, Entretenimiento",4000,2,8000
"Ingenieria Industrial",3,6,"Celular",4,"iPhone 14","Apple",7,2,2,"Estudios, Investigación, Entretenimiento",3279,4.26959438853309,6558
"Ingenieria Mecatrónica",3,6,"Celular",2,"Samsung S23","Samsung",12,1,5,"Estudios, Investigación, Entretenimiento",4855,2.47167868177137,4855
"Ciencias de la computación",8,8,"Laptop",2,"MacBook Air M1 2020","Apple",10,2,5,"Estudios, Entretenimiento",4379,4.56725279744234,8758
"Ingenieria Ambiental",4,7,"Laptop",2,"VivoBook_ASUSLaptop x515EA_x515EA","Asus",5,3,3,"Estudios, Investigación, Entretenimiento",4850,3.09278350515464,14550
"Ingenieria Industrial",6,5,"Laptop",1,"Aspire A515-56","Acer",8,3,4,"Estudios, Investigación, Entretenimiento",4210,5.70071258907363,12630
"Ingenieria Civil",3,6,"Celular",3,"Samsung Galaxy A31","Samsung",10,2,5,"Estudios, Entretenimiento",5000,4,10000
"Bioingenieria",3,6,"Tablet",3,"Samsung TAB s9","Samsung",5,2,5,"Estudios",8400,1.19047619047619,16800
"Ingenieria Mecatrónica",3,7,"Tablet",7,"Samsung S6 Lite","Samsung",8,2,5,"Estudios, Entretenimiento",7040,2.27272727272727,14080
"Ingenieria Civil",4,6,"Laptop",2,"ASUS TUF Dash F15 FX517ZE_FX517ZE","Asus",8,3,4,"Estudios, Investigación",5600,4.28571428571429,16800
"Ingenieria Civil",5,4,"Celular",2,"IPhone 13 Pro Max","Apple",4,1,4,"Estudios, Investigación, Entretenimiento",4352,0.919117647058823,4352
"Ciencias de la computación",6,4,"Laptop",3,"Lenovo Ideapad 15ARE05","Samsung",6,2,5,"Estudios, Investigación, Entretenimiento",2800,4.28571428571429,5600
"Ingenieria Química",8,7,"Laptop",2,"Lenovo Ideapad 5 82XG003SLM","Huawei",8,5,4,"Estudios, Investigación, Entretenimiento",4955,8.07265388496468,24775
"Ingenieria Civil",4,7,"Laptop",4,"gaming ideapad3","Lenovo",5,3,4,"Estudios",4610,3.25379609544469,13830
"Ingenieria Química",5,4,"Celular",3,"X8B","Honor",9.5,2,5,"Estudios, Investigación, Entretenimiento",4500,4.22222222222222,9000
"Ingenieria Industrial",6,5,"Laptop",2,"HP 82LN00ALLM","HP",3,2,4,"Estudios, Investigación, Entretenimiento",7000,0.857142857142857,14000
